,ASA
Na,0.985
Nab,1.875
Nd,1.827
Ne,1.958
Nf,2.537
Nfe,2.808
NfeBr,3.304
NfeCl,3.303
Nfex,2.634
Nfn,2.161
Nfnap,3.363
Nfp,2.946
Ni,1.772
Nk,2.428
Nke,1.768
Nkeqm,2.19
Nl,1.821
Nm,1.945
NmO,1.87
Nn,1.746
Nq,1.921
Nr,2.565
Ns,1.621
Nse,1.808
Nt,1.758
Nv,1.717
Nw,3.026
Nwe,3.176
Ny,2.571
